,0
valve,393.46890350531777
leak,317.64290767261565
line,306.3448098474137
gas,302.3969362522926
pipeline,287.24855931547324
release,278.9861518688109
pump,253.5084769836321
station,232.00213745120018
tank,229.31196469428446
pipe,200.6525599837891
approximately,199.51022260508708
cause,189.4575262945251
report,189.34552577833477
oil,188.97200736054532
service,180.7096125422239
repair,167.01310101814164
product,160.5226908629815
crude,158.41988823249875
pressure,158.36073611252132
seal,158.0132049107073
